Title,Text,Input type,Group,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions ,Input Name (if you want to save it)
Discrimination ,"We're very sorry to hear you are experiencing stress due to discrimination or marginalization. We recognize that people have different needs following such experiences, so we want to offer a number of tools to help support you at this time.",,"Undergraduate, Graduate, Staff, Faculty",,,,,,,,,,,,
Discrimination ,Here are some tools and resources you might find helpful at this time. Please select one or more of the following options:,Checkbox,"Undergraduate, Graduate, Staff, Faculty",,,,"Journal::Journal - I would like to write down my thoughts and feelings tied to this experience; Reporting:: Reporting - I would like to be provided with resources tied to reporting an instance of discrimination or harassment; Self-Care::Self-Care and Wellness - I would like to be provided with resources tied to self-care and wellness practices that may be helpful following an instance of discrimination, marginalization, or harassment.; Allyship::Allyship - I would like to be provided with resources tied to providing allyship and support to others who have experienced discrimination, marginalization, or harassment.; Community::Community support - I would like to be provided with resources tied to community-building and social support; Activism::Activism - I would like to be provided with resources tied to activism and empowerment; Training::I would like to complete a training session now to practice thinking flexibly in a different domain; ^NotMatched::These resources do not match what I am looking for at this time; ^NotNeeded::I am not looking for any additional resources at this time",,,,,,Discrimination,,Discrimination
Self-Care,BIPOC Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for BIPOC mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nLGBTQ+ Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for LGBTQ+ mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nSister Circle Presents...10 Self-Care Tips for Black Women\n\nLooking to engage in some self-care? Here's 10 ways you can!\n\n\n\nWellness Tools from the Black Emotional and Mental Health Collective\n\nExplore different ways that you can care for your emotional and mental health with these resources compiled by the Black Emotional and Mental Health Collective.,,Staff,,,,,,,,,,,Discrimination; Self-Care,
Self-Care,BIPOC Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for BIPOC mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nLGBTQ+ Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for LGBTQ+ mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nSister Circle Presents...10 Self-Care Tips for Black Women\n\nLooking to engage in some self-care? Here's 10 ways you can!\n\n\n\nWellness Tools from the Black Emotional and Mental Health Collective\n\nExplore different ways that you can care for your emotional and mental health with these resources compiled by the Black Emotional and Mental Health Collective.,,Faculty,,,,,,,,,,,Discrimination; Self-Care,
Allyship,"Talking About Race\n\nConversations about race are important -- here's how you can do them right.\n\n\n\nThe Guide to Allyship\n\nInteretsed in learning what it takes to be an effective ally? Here's a guide.\n\n\n\n10 Things Allies Should Know\n\nThis is an article that discusses ways in which you can be a good ally to individuals who are marginalized.\n\n\n\nAllies and Antiracism\n\nProject Ready is a free online professional development curriculum provides information about how to be an ally and engage in anti-racist work.\n\n\n\nSupporting Asian American Individuals\n\nHere are some ways you can support your peers that identify as Asian American.\n\n\n\nAllyship and Activism Resources for the Black Community\n\nThis Google doc provides tips and strategies to engage in efffective anti-racist activism as well as educational resources such as books, movies, and podcasts.\n\n\n\nLGBTQIA Allyship Tips\n\nThis site provides general resources tied to providing allyship to trans, intersex and asexual communities.  ",,Undergraduate,,,,,,,,,,,Discrimination; Allyship,
Allyship,"Talking About Race\n\nConversations about race are important -- here's how you can do them right.\n\n\n\nThe Guide to Allyship\n\nInteretsed in learning what it takes to be an effective ally? Here's a guide.\n\n\n\n10 Things Allies Should Know\n\nThis is an article that discusses ways in which you can be a good ally to individuals who are marginalized.\n\n\n\nAllies and Antiracism\n\nProject Ready is a free online professional development curriculum provides information about how to be an ally and engage in anti-racist work.\n\n\n\nSupporting Asian American Individuals\n\nHere are some ways you can support your peers that identify as Asian American.\n\n\n\nAllyship and Activism Resources for the Black Community\n\nThis Google doc provides tips and strategies to engage in efffective anti-racist activism as well as educational resources such as books, movies, and podcasts.\n\n\n\nLGBTQIA Allyship Tips\n\nThis site provides general resources tied to providing allyship to trans, intersex and asexual communities.  ",,Graduate,,,,,,,,,,,Discrimination; Allyship,
Allyship,"Talking About Race\n\nConversations about race are important -- here's how you can do them right.\n\n\nThe Guide to Allyship\n\nInteretsed in learning what it takes to be an effective ally? Here's a guide.\n\n\n\nHow Organizations Can Support the Mental Health of Black Employees\n\nHere's how you can support the mental health of your colleagues that identify as Black\n\n\n\nWorkplace Mental Health for Asian American Professionals\n\nLearn about the challenges that people who identify as Asian American face in the workplace -- and how they overcome them\n\n\n\nHow to Support Asian American colleagues amid the recent wave of anti-Asian violence\n\nHere's how you can support your colleagues that identify as Asian American\n\n\n\nAllies and Antiracism\n\nProject Ready is a free online professional development curriculum provides information about how to be an ally and engage in anti-racist work. \n\n\n\nAllyship and Activism Resources for the Black Community\n\nThis Google doc provides tips and strategies to engage in efffective anti-racist activism as well as educational resources such as books, movies, and podcasts.\n\n\n\nLGBTQIA Allyship Tips\n\nThis site provides general resources tied to providing allyship to trans, intersex and asexual communities.  ",,Staff,,,,,,,,,,,Discrimination; Allyship,
Allyship,"Talking About Race\n\nConversations about race are important -- here's how you can do them right.\n\n\nThe Guide to Allyship\n\nInteretsed in learning what it takes to be an effective ally? Here's a guide.\n\n\n\nHow Organizations Can Support the Mental Health of Black Employees\n\nHere's how you can support the mental health of your colleagues that identify as Black\n\n\n\nWorkplace Mental Health for Asian American Professionals\n\nLearn about the challenges that people who identify as Asian American face in the workplace -- and how they overcome them\n\n\n\nHow to Support Asian American colleagues amid the recent wave of anti-Asian violence\n\nHere's how you can support your colleagues that identify as Asian American\n\n\n\nAllies and Antiracism\n\nProject Ready is a free online professional development curriculum provides information about how to be an ally and engage in anti-racist work. \n\n\n\nAllyship and Activism Resources for the Black Community\n\nThis Google doc provides tips and strategies to engage in efffective anti-racist activism as well as educational resources such as books, movies, and podcasts.\n\n\n\nLGBTQIA Allyship Tips\n\nThis site provides general resources tied to providing allyship to trans, intersex and asexual communities.  ",,Faculty,,,,,,,,,,,Discrimination; Allyship,
Community,"LGBTQ Center\n\nGet involved with the LGBTQ Center for the support and new connections you deserve.\n\n\n\nCultural and Ethnic Organizations @UVA\n\nInterested in joining a cultural and ethnic organization at UVA? Click on this link to discover all clubs you can join!\n\n\n\nMulticultural Student Center\n\nThe Multicultural Student Center offers a safe space for individuals who hold lots of different identities. Check it out!\n\n\n\nInterfaith Student Center\n\nThe Interfaith Student Center offers a safe space for students with different backgrounds and beliefs. Check it out!\n\n\n\nLatinx Student Center\n\nThe Latinx Student Center offers a safe and inclusive space for students who identify as Latinx. Check it out!\n\n\n\nOffice of African-American Affairs\n\nThe Office of African-American Affairs can offer both academic and non-academic support for students who identify as African-American. Check it out!\n\n\n\nThe Activists' Guide\n\nCharlottesville based organization that connects activists across the community and provides activisits with resources\n\n\n\n5 Calls\n\nWant to demand change from your representatives but not sure where to start? 5 Calls can help demystify the process! Just enter your location, choose issues that are important to you, and the website will tell you who to call and what to say. \n\n\n\nThe Equity Center\n\nThe UVA Democracy Initiative Center for the Redress of Inequity through Community Engaged Scholarship (aka The Equity Center) represents a new model of community engaged scholarship, imagining the university as not just an anchor institution, but also an authentic community resource. Our community partnerships and advocacy within the University work in tandem to create a more equitable culture.\n\n\n\nUVA Voices of Equity\n\nVoices of Equity is an interactive library that contains 50 years of documents addressing racial inequity at UVA. You can explore their interactive timeline, examine trends through their analyses, and even request that additional documents be added to the website. Join the conversation today.\n\n\n\nJefferson School African American Heritage Center\n\nLocated in the Jefferson School City Center near the Downtown Mall, the African American Heritage Center works to honor and preserve the history of African Americans in Charlottesville. They host events, exhibitions, education opportunities, and so much more.\n\n\n\nMulticultural Student Services Advising and Personal Support\n\nMSS Professional Staff maintain an open door policy to discuss concerns related to your cultural, social, and personal development during your time at UVA.",,Undergraduate,,,,,,,,,,,Discrimination; Community,
Community,"The Organization for UnderRepresented Students\n\nThe Organization for UnderRepresented Students (OURS) is focused on providing a safe space for Ph.D. students from underrepresented backgrounds to come together and discuss the unique challenges faced.\n\n\n\nWomens Initiative -- Sister Circle\n\nSister Circle offers a social support group to meet the needs of people from across the African diaspora who identify as women in various ways: one of which being, recognizing the unique mental health challenges and trauma created by anti-Black racism and systemic oppression of BIPOC individuals.\n\n\n\nGraduate Student Affinity Groups\n\nLooking for people with similar backgrounds and identities? Check out UVA's Graduate Student Affinity Groups!\n\n\n\nPFLAG\n\nPFLAG is the ""first and largest"" organization for supporting and affirming the LGTBQ+ community with over 400 chapters, including one in Charlottesvile. They provide confidential peer support, education, and advocacy for individuals who identify as LGBTQ+ and their allies.\n\n\n\nThe Activists' Guide\n\nThe Activists' Guide is a Charlottesville based organization that hat connects activists across the community and provides with resources such as activists' techniques and a newsletter, and more!\n\n\n\nJefferson School African American Heritage Center\n\nLocated in the Jefferson School City Center near the Downtown Mall, the African American Heritage Center works to honor and preserve the history of African Americans in Charlottesville. They host events, exhibitions, education opportunities, and so much more.  ",,Graduate,,,,,,,,,,,Discrimination; Community,
Community,"Womens Initiative -- Sister Circle\n\nSister Circle offers a social support group to meet the needs of people from across the African diaspora who identify as women in various ways: one of which being, recognizing the unique mental health challenges and trauma created by anti-Black racism and systemic oppression of BIPOC individuals.\n\n\n\nUVA Black Faculty and Staff Employee Resource Group\n\nThe UVA Black Faculty and Staff Employee Resource Group seeks to provide mentorship, recruitment, professional development, collegiality, and retention opportunities for Black faculty and staff.\n\n\n\nPFLAG\n\n""First and largest"" organization for connected to the LGTBQ+ community with over 400 chapters, including one in Charlottesvile.\n\n\n\nThe Activists' Guide\n\nThe Activists' Guide is a Charlottesville based organization that hat connects activists across the community and provides with resources such as activists' techniques and a newsletter, and more!\n\n\n\nJefferson School African American Heritage Center\n\nLocated in the Jefferson School City Center near the Downtown Mall, the African American Heritage Center works to honor and preserve the history of African Americans in Charlottesville. They host events, exhibitions, education opportunities, and so much more.  ",,Staff,,,,,,,,,,,Discrimination; Community,
Community,"Womens Initiative -- Sister Circle\n\nSister Circle offers a social support group to meet the needs of people from across the African diaspora who identify as women in various ways: one of which being, recognizing the unique mental health challenges and trauma created by anti-Black racism and systemic oppression of BIPOC individuals.\n\n\n\nUVA Black Faculty and Staff Employee Resource Group\n\nThe UVA Black Faculty and Staff Employee Resource Group seeks to provide mentorship, recruitment, professional development, collegiality, and retention opportunities for Black faculty and staff.\n\n\n\nPFLAG\n\n""First and largest"" organization for connected to the LGTBQ+ community with over 400 chapters, including one in Charlottesvile.\n\n\n\nThe Activists' Guide\n\nThe Activists' Guide is a Charlottesville based organization that hat connects activists across the community and provides with resources such as activists' techniques and a newsletter, and more!\n\n\n\nJefferson School African American Heritage Center\n\nLocated in the Jefferson School City Center near the Downtown Mall, the African American Heritage Center works to honor and preserve the history of African Americans in Charlottesville. They host events, exhibitions, education opportunities, and so much more.  ",,Faculty,,,,,,,,,,,Discrimination; Community,
Activism,"The Activists' Guide\n\nCharlottesville based organization that connects activists across the community and provides activisits with resources\n\n\n\nBlack Lives Matter\n\nA global network of activists whose mission is to eradicate white supremacy and empower Black communities\n\n\n\nHuman Rights Campaign\n\nGroup striving to create equality for the LGBTQ+ community, specifically those who are trans, people of color, and HIV+, in the U.S. and the world as a whole\n\n\n\nPFLAG\n\n""First and largest"" organization for connected to the LGTBQ+ community with over 400 chapters, including one in Charlottesvile\n\n\n\nNCAAP\n\nOne of the oldest activism groups, NCAAP hopes to achieve equality, both socially and politically, through eradication of discrimination while securing the academic and economic well-being of black people\n\n\n\n5 Calls\n\nWant to demand change from your representatives but not sure where to start? 5 Calls can help demystify the process! Just enter your location, choose issues that are important to you, and the website will tell you who to call and what to say.\n\n\n\nThe Equity Center\n\nThe UVA Democracy Initiative Center for the Redress of Inequity through Community\n\n\n\nEngaged Scholarship (aka The Equity Center) represents a new model of community engaged scholarship, imagining the university as not just an anchor institution, but also an authentic community resource. Our community partnerships and advocacy within the University work in tandem to create a more equitable culture.\n\n\n\nUVA Voices of Equity\n\nVoices of Equity is an interactive library that contains 50 years of documents addressing racial inequity at UVA. You can explore their interactive timeline, examine trends through their analyses, and even request that additional documents be added to the website. Join the conversation today.\n\n\n\nSierra Club Activist Resources\n\nThe Sierra Club, a national organization for environmental activism, provides resources for people interested in planning a campaign and organizing the community.\n\n\n\nJefferson School African American Heritage Center\n\nLocated in the Jefferson School City Center near the Downtown Mall , the African American Heritage Center works to honor and preserve the history of African Americans in Charlottesville. They host events, exhibitions, education opportunities, and so much more.  ",,Undergraduate,,,,,,,,,,,Discrimination; Activism,
Activism,"Community and Activism - UVA Law\n\nIf you are a student of UVA Law and interested in activism, you can get involved with a bunch of different activism-based organizations such as the Feminist Legal Forum, the Human Rights Study Project, and more!\n\n\n\nThe Activists' Guide\n\nThe Activists' Guide is a Charlottesville based organization that hat connects activists across the community and provides with resources such as activists' techniques and a newsletter, and more!\n\n\n\nBlack Lives Matter\n\nBlack Lives Matter is a global network of activists whose mission is to eradicate white supremacy and empower Black communities.\n\n\n\nHuman Rights Campaign\n\nThe Human Rights Campaign is a group striving to create equality for the LGBTQ+ community in the U.S. and worldwide, specifically those who are trans, people of color, and HIV+.\n\n\n\nPFLAG\n\nPFLAG is the ""first and largest"" organization for supporting and affirming the LGTBQ+ community with over 400 chapters, including one in Charlottesvile. They provide confidential peer support, education, and advocacy for individuals who identify as LGBTQ+ and their allies.\n\n\n\nBlack Girls Code\n\nBlack Girls Code is an organization that aids young women of color in learning skills such as leadership and innovation within the world of STEM. They have many opportunities to volunteer such as being an instructor or assistant, photography, and more! Join your local chapter today. \n\n\n\nNAACP\n\nOne of the oldest activism groups, NAACP hopes to achieve equality, both socially and politically, through the eradication of discrimination while securing the academic and economic well-being of Black people\n\n\n\n5 Calls\n\nWant to demand change from your representatives but not sure where to start? 5 Calls can help demystify the process! Just enter your location, choose issues that are important to you, and the website will tell you who to call and what to say. \n\n\n\nThe Equity Center\n\nThe UVA Democracy Initiative Center for the Redress of Inequity through Community Engaged Scholarship (aka The Equity Center) represents a new model of community engaged scholarship, imagining the university as not just an anchor institution, but also an authentic community resource. Their work community partnerships and advocacy within the University work in tandem to create a more equitable culture.\n\n\n\nUVA Voices of Equity\n\nVoices of Equity is an interactive library that contains 50 years of documents addressing racial inequity at UVA. You can explore their interactive timeline, examine trends through their analyses, and even request that additional documents be added to their website. Join the conversation today!\n\n\n\nSierra Club Activist Resources\n\nThe Sierra Club, a national organization for environmental activism, provides resources for people interested in planning a campaign and organizing their community around a cause.\n\n\n\nJefferson School African American Heritage Center\n\nLocated in the Jefferson School City Center near the Downtown Mall, the African American Heritage Center works to honor and preserve the history of African Americans in Charlottesville. They host events, exhibitions, education opportunities, and so much more.  ",,Graduate,,,,,,,,,,,Discrimination; Activism,
Activism,"The Activists' Guide\n\nCharlottesville based organization that connects activists across the community and provides activisits with resources\n\n\n\nBlack Lives Matter\n\nA global network of activists whose mission is to eradicate white supremacy and empower Black communities\n\n\n\nHuman Rights Campaign\n\nGroup striving to create equality for the LGBTQ+ community, specifically those who are trans, people of color, and HIV+, in the U.S. and the world as a whole\n\n\n\nPFLAG\n\n""First and largest"" organization for connected to the LGTBQ+ community with over 400 chapters, including one in Charlottesvile\n\n\n\nNCAAP\n\nOne of the oldest activism groups, NCAAP hopes to achieve equality, both socially and politically, through eradication of discrimination while securing the academic and economic well-being of black people\n\n\n\n5 Calls\n\nWant to demand change from your representatives but not sure where to start? 5 Calls can help demystify the process! Just enter your location, choose issues that are important to you, and the website will tell you who to call and what to say.\n\n\n\nThe Equity Center	https://virginiaequitycenter.org/	The UVA Democracy Initiative Center for the Redress of Inequity through Community Engaged Scholarship (aka The Equity Center) represents a new model of community engaged scholarship, imagining the university as not just an anchor institution, but also an authentic community resource. Our community partnerships and advocacy within the University work in tandem to create a more equitable culture. ",,Staff,,,,,,,,,,,Discrimination; Activism,
Activism,"The Activists' Guide\n\nCharlottesville based organization that connects activists across the community and provides activisits with resources\n\n\n\nBlack Lives Matter\n\nA global network of activists whose mission is to eradicate white supremacy and empower Black communities\n\n\n\nHuman Rights Campaign\n\nGroup striving to create equality for the LGBTQ+ community, specifically those who are trans, people of color, and HIV+, in the U.S. and the world as a whole\n\n\n\nPFLAG\n\n""First and largest"" organization for connected to the LGTBQ+ community with over 400 chapters, including one in Charlottesvile\n\n\n\nNCAAP\n\nOne of the oldest activism groups, NCAAP hopes to achieve equality, both socially and politically, through eradication of discrimination while securing the academic and economic well-being of black people\n\n\n\n5 Calls\n\nWant to demand change from your representatives but not sure where to start? 5 Calls can help demystify the process! Just enter your location, choose issues that are important to you, and the website will tell you who to call and what to say. \n\n\n\nUVA Voices of Equity\n\nVoices of Equity is an interactive library that contains 50 years of documents addressing racial inequity at UVA. You can explore their interactive timeline, examine trends through their analyses, and even request that additional documents be added to the website. Join the conversation today.\n\n\n\nSierra Club Activist Resources\n\nThe Sierra Club, a national organization for environmental activism, provides resources for people interested in planning a campaign and organizing the community. You can also join the Piedmont Group of the Sierra Club, the local chapter that serves central Virginia.\n\n\n\nJefferson School African American Heritage Center\n\nLocated in the Jefferson School City Center near the Downtown Mall , the African American Heritage Center works to honor and preserve the history of African Americans in Charlottesville. They host events, exhibitions, education opportunities, and so much more.\n\n\n\nThe Equity Center\n\nThe UVA Democracy Initiative Center for the Redress of Inequity through Community Engaged Scholarship (aka The Equity Center) represents a new model of community engaged scholarship, imagining the university as not just an anchor institution, but also an authentic community resource. Our community partnerships and advocacy within the University work in tandem to create a more equitable culture. ",,Faculty,,,,,,,,,,,Discrimination; Activism,
