Broad Domain 1,Broad Domain 2,Broad Domain 3,Type,Title,Body,Body #2,Comprehension,Correct response,Incorrect response,Photo Url,Photo Name,Letters Missing,
Académicos/Trabajo/Desarrollo Profesional,Finanzas,,Positive,Ingresos adicionales,"Recientemente te has sentido abrumado con el trabajo, pero sabes que necesitas conseguir un segundo trabajo para estar en una situación financiera más estable. Mientras buscabas trabajo en línea, viste un solicitud para un trabajo que suena muy divertido para ti. Piensas que trabajar este segundo trabajo será manejable. ",N/A,¿Crees que puedes manejar un segundo trabajo?,Sí,No,https://drive.google.com/file/d/1UBORN__WOk3N5lP4X-qA_lwYYhlyyYqS/view?usp=sharing,11.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Terminando el trabajo,"Tienes un proyecto que entregar en el trabajo la próxima semana. Aún no lo has comenzado porque no estás seguro de cuál es la mejor manera de completarlo. Cuando piensas en completar el proyecto a tiempo, te sientes seguro.",N/A,¿Te preocupa completar tu proyecto a tiempo?,No,,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,12.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Negative,Proyecto de escritura,"Tu supervisor te pide que escribas un informe. El documento terminado es bastante breve, pero tomó mucho tiempo y esfuerzo. Basado en tu escritura, piensas que la opinión de tu supervisor de ti será negativa. ",N/A,Es probable que tu supervisor te haya encontrado...,Incapaz.,Capaz.,https://drive.google.com/file/d/1ddDarVDFeMrqrQX7pLc5SYlfb8WVa2d3/view?usp=sharing,13.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Resilience/Negation,Obtener una oportunidad,"Has enviado una solicitud para un trabajo que esperas conseguir. Esperas conseguir una entrevista para el trabajo después de que revisen tu solicitud, pero sabes que es muy competitiva.","Con tus calificaciones, no crees que rechacen tu solicitud y esperas obtener una entrevista.",¿Te invitarán a una entrevista?,Sí,No,https://drive.google.com/file/d/1kw58e9iPvU1vOT2PxZuYepma0F30V2qn/view?usp=sharing,14.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Certidumbre de estar en lo correcto,"Estás teniendo una discusión intelectual con tu colega. En una de las preguntas que te hacen, estás 90% seguro de que conoces la respuesta correcta. Cuando respondes, te sientes seguro.",N/A,¿Te sientes inseguro acerca de tu respuesta?,No,,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,15.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Positive,Reunión uno a uno,"Hoy tienes una reunión individual con tu intimidante jefe, lo que te pone nervioso. Durante la reunión, pierdes momentáneamente el hilo de tus pensamientos. Después de eso, tu ansiedad es tolerable.",N/A,¿Eres capaz de tolerar tu ansiedad mientras te reúnes con tu jefe?,Sí,,https://drive.google.com/file/d/1XdpsyI2ipYQdebyRJI6icWGBOLJlNXCD/view?usp=sharing,16.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Poniendo la preparación a prueba,"Tienes una presentación importante hoy. Has estado trabajando duro en ello porque es un requisito para tu trabajo. Cuando comienzas la presentación, te sientes preparado.",N/A,¿Te sientes listo para tu presentación hoy?,Sí,,https://drive.google.com/file/d/1EGxTcZKCBXrsb-DSPlRArXgAO9zeOHEV/view?usp=sharing,17.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Rendimiento deficiente,"Hoy por la noche descubrirás los resultados de tu evaluación anual de rendimiento en el trabajo. Tus calificaciones son bajas en una categoría y sabes que tu supervisor querrá reunirse contigo para hablar sobre tu desempeño. Cuando piensas en lo que tu supervisor te dirá, te sientes bien.",N/A,¿Puedes manejar la reacción de tu jefe con respeto a tu evaluación deficiente?,Sí,,https://drive.google.com/file/d/1R2qiJM_IDzSxINZRkJ1oU9N7X9ZhWZBn/view?usp=sharing,18.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Visítas importantes,"Algunas personas importantes están visitando tu oficina y te piden que les presentes un proyecto. El día de la presentación, organizas tus diapositivas y te preparas mentalmente. Piensas que los visitantes evaluarán tu presentación como organizada.",N/A,¿Los visitantes quedarán poco impresionados con tu presentación?,No,,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,19.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Resilience/Negation,Un panel de entrevista,"Eres el tercer y último candidato que será entrevistado para un trabajo. El panel de entrevistas te saluda cuando entras a la sala de conferencias. Cuando te sientas, sientes que tus mejillas arden y comienzas a temblar. Probablemente, el panel te percibe como nervioso.","Después de la entrevista, te das cuenta de que es normal estar nervioso durante entrevistas con paneles. Es probable que los miembros del panel te hayan percibido como bastante calmado y entusiasta.",¿Crees que los entrevistadores te ven como una persona nerviosa?,No,,https://drive.google.com/file/d/1mTDpifErX2S2EJttSEMaqR6mz1MpzjR7/view?usp=sharing,20.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Positive,Quedando atrás,"Recientemente comenzaste un nuevo trabajo. Mientras trabajas, parece que todos los que te rodean saben lo que están haciendo, pero aún estás confundido. Crees que esto se debe a que todavía estás aprendiendo y pronto te darás adaptarás.",N/A,¿Mejorarás en tu trabajo?,Sí,,https://drive.google.com/file/d/1V3qcOIHvtf7LmQss0ruGtHPfIMlyIauX/view?usp=sharing,21.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Vida Familiar y Doméstica,,Positive,Fecha límite cercana,"Tú y tu pareja comparten una oficina en casa. Tienes una tarea del trabajo que entregar esta noche, pero tu pareja está usando la oficina. Cuando piensas en completar el trabajo a tiempo, te sientes seguro.",N/A,¿Terminarás tu tarea a tiempo?,Sí,,https://drive.google.com/file/d/1q13omJofjfnPiBpNlEwv-3_ZALGQEk6h/view?usp=sharing,22.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Resilience/Negation,Trabajando para salir adelante,"Te acaban de dar un trabajo en una oficina que realmente admiras. Para recibir el ascenso que deseas, sabes que tendrás que trabajar muy duro durante varios años y que el resultado es incierto.","Cuando imaginas tu probable puesto en la empresa en el futuro, no te ves siendo pasado por alto y esperas obtener el trabajo que deseas.",¿Esperas conseguir eventualmente el trabajo que deseas?,Sí,No,https://drive.google.com/file/d/1iFL-df-zgCCAJLsGw8Thh-FkkGSlVrbM/view?usp=sharing,23.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Obtener una oportunidad,"Has enviado una solicitud para un trabajo que esperabas conseguir. Esperas conseguir una entrevista para el trabajo después de que revisen tu solicitud, pero sabes que es muy competitiva. Con tus calificaciones, esperas recibir una llamada.",N/A,Tus calificaciones...,Te ponen en una buena posición para conseguir una entrevista.,Probablemente no sean lo suficientemente fuertes como para hacerte destacar.,https://drive.google.com/file/d/1kw58e9iPvU1vOT2PxZuYepma0F30V2qn/view?usp=sharing,14.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Resilience/Negation,Mente va en blanco,Tu jefe te llama para que respondas una pregunta sobre los planes que acabas de discutir. No sabes qué decir. Tu mente se queda en blanco.,"Te das un momento para ordenar tus pensamientos y luego responder a la pregunta. Cuando piensas en la respuesta que diste, te sientes bien. ",¿Eres capaz de responder la pregunta?,Sí,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,24.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Apoyándose en sus compañeros,"Recibes tu evaluación hoy y tus resultados son más bajos de lo que esperabas. Tus compañeros hablan de sus resultados y son más positivos que los tuyos. Si les cuentas a tus compañeros sobre los resultados de tu evaluación, serán comprensivos.",N/A,¿Tus compañeros te juzgarán por obtener resultados de evaluación más negativos que ellos?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,25.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Tartamudeo en la oficina,"Estás hablando con tu supervisor en su oficina. Te das cuenta de que estás tartamudeando un poco más de lo normal. A medida que continúa la conversación, decides que está bien.",N/A,¿Te sientes avergonzado por tartamudear al hablar?,No,,https://drive.google.com/file/d/1aUoa1C9eagfLdwz6V8WTzXzAjHHYPXaJ/view?usp=sharing,26.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Negative,WiFi inestable,"No tienes acceso estable a Internet en casa y te enteraste de que tu trabajo ha pasado a operaciones en línea. Te preguntas cómo podrás mantener el ritmo de tu trabajo. Al pensar en la situación, te sientes estresado.",N/A,¿Te preocupa mantenerte al día con tu trabajo?,Sí,,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,27.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Presentación estresante,"Tienes que hacerle una presentación a tu jefe. Mientras piensas en la charla, sientes mariposas en el estómago. La mañana de la charla, te sientes nervioso y crees que tus nervios serán manejables.",N/A,¿Eres capaz de tolerar tu ansiedad?,Sí,,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,28.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Discutir la evaluación,"Acabas de recibir tu evaluación de desempeño y notas que hay algunas críticas sobre tu trabajo que no sabías que era un problema. Mientras esperas tu reunión con tu jefe, te sientes preparado.",N/A,¿Pasas tu tiempo preocupándote por reunirte con tu jefe?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,25.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Resilience/Negation,Equilibrio de trabajo y amistades,"Estás lidiando con mucho en el trabajo en este momento. Tu amigo, a quien no has visto en un tiempo, te ha pedido pasar tiempo juntos la noche antes de una fecha límite importante. Sabes que necesitas priorizar tu trabajo, pero te preocupa que tu amigo se moleste si no haces tiempo para ellos.",Sabes que tendrás más flexibilidad en las próximas semanas para ver a tu amigo y que el entenderá que necesitas trabajar.,¿Tu amigo estará enojado contigo por no verlo?,No,,https://drive.google.com/file/d/1l7EYIU9EAQNPZ729hAe8kKcigikut6sh/view?usp=sharing,29.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Negative,Trabajando en grupo,Te asignan un proyecto para completar en el trabajo. Te agrupan con compañeros de trabajo que normalmente no contribuyen mucho a los proyectos laborales. Comienzas a pensar en cómo irá el proyecto y te sientes preocupado.,N/A,¿Te preocupa completar la presentación?,Sí,,https://drive.google.com/file/d/1EGxTcZKCBXrsb-DSPlRArXgAO9zeOHEV/view?usp=sharing,17.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Discutir la evaluación,"Acabas de recibir tu evaluación de desempeño y notas que hay algunas críticas sobre tu trabajo que no sabías que era un problema. Mientras esperas tu reunión con tu jefe, te sientes preparado.",N/A,¿Pasas tu tiempo preocupándote por reunirte con tu jefe?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,25.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Resilience/Negation,Mente va en blanco,Tu jefe te llama para que respondas una pregunta sobre los planes que acaban de discutir. No sabes qué decir. Tu mente se queda en blanco.,"Te das un momento para ordenar tus pensamientos y luego responder a la pregunta. Cuando piensas en la respuesta que diste, te sientes bien. ",¿Eres capaz de responder a la pregunta?,Sí,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,24.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Llegando tarde,"Te despiertas y te das cuenta de que llegas tarde a tu primera reunión en línea del día. Al conectarte, tu supervisor deja de hablar. Te disculpas por llegar tarde al chat y pasas el resto de la reunión sintiéndote tranquilo.",N/A,¿Estás ansioso por el resto de la reunión porque llegaste tarde?,No,,https://drive.google.com/file/d/11hkKoc95B-7-zuWUGB6ZlYkbaj1oMxzZ/view?usp=sharing,30.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Alzar la voz en una clase,Tu jefe está hablando de uno de tus modelos a seguir en tu campo de trabajo durante una reunión y le pregunta si alguien sabe de su trabajo. Frente a todos levantas rápidamente la mano y tus colegas se vuelven hacia ti. Te das cuenta de que te sientes seguro.,N/A,¿Te da vergüenza haber levantado la mano?,No,,https://drive.google.com/file/d/1qGMXNyoVsjti9RZVA8vAZ6RjVRacfgBv/view?usp=sharing,31.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Taller de escritura,"Un compañero de trabajo sugiere que tu equipo participe en un taller sobre escritura para el lugar de trabajo. Lees información en línea sobre el taller. Mientras navegas el sitio, la idea de otras personas leyendo tu escritura te hace sentir entusiasmo. ",N/A,¿Esperas sentirte incómodo si otros miran tu trabajo?,No,,https://drive.google.com/file/d/1vQbs0ifLnQbnC1ejFEq6WujzKLqZl7vv/view?usp=sharing,32.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Un trago de agua,"Te dicen que tienes que hacer una presentación ante tus compañeros de trabajo. Cuando llega el momento de presentar, tomas un trago de agua y te preguntas qué pensarán tus compañeros de ti. Al comenzar a hablar, sientes miedo pero decides continuar.",N/A,Cuando sientes ansiedad durante una presentación...,Tienes la capacidad de continuar con tu exposición.,Tienes que parar tu exposición y huir de la situación.,https://drive.google.com/file/d/1M2nmwy6Vs-FYWSeplo1FuQ51PqchzdnB/view?usp=sharing,33.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Visitas importantes,"Algunas personas importantes están visitando tu oficina y te piden que les presentes un proyecto. El día de la presentación, organizas tus diapositivas y te preparas mentalmente. Piensas que los visitantes evaluarán tu presentación como organizada.",N/A,¿Los visitantes quedarán poco impresionados con tu presentación?,No,,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,19.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Una noche libre,"Tienes un gran proyecto pendiente al final de la semana. Tu trabajo no ha terminado, pero consideras tomarte un descanso para salir con amigos. Tomarte la noche libre sería razonable.",N/A,¿Está bien que hayas dejado de trabajar para salir con amigos?,Sí,,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,34.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Una audiencia captada,"Tienes que dar una presentación a un grupo de colegas de trabajo que conoces bien. Todos están callados durante tu presentación. Mientras lo piensas más tarde en casa, crees que tus colegas encontraron tu presentación interesante.",N/A,Tus compañeros probablemente estaban callados porque...,Estaban enfocados en tu presentación.,Estaban aburridos con tu presentación.,https://drive.google.com/file/d/12S8nfxTZe8xGCPO8jz-sGM6I1c8zCe1q/view?usp=sharing,35.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Positive,Respondiendo a preguntas inesperadas,"Estás presentando tu trabajo a un grupo de tus compañeros. Después de tu presentación, alguien te hace una pregunta muy específica a la que no sabes responder y sientes que no estás calificado. Recuerdas que hiciste mucha investigación y que esta pregunta puede que simplemente no sea relevante.",N/A,¿Estás calificado para dar tu presentación?,Sí,,https://drive.google.com/file/d/12gcbXlswsM0sW5_Z7DcSBJGr1Bq-2t8t/view?usp=sharing,36.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Resilience/Negation,Dando la mano,"Estás dando una presentación a tus compañeros sobre un nuevo plan de capacitación. Sientes que tus manos tiemblan un poco. Preguntándote si es obvio, miras alrededor y ves que algunas personas se han dado cuenta.",Te das cuenta de que tus compañeros están más interesados en tu presentación que en tus manos. Continúas con tu presentación y con tiempo te das cuenta de que tus nervios son manejables.,¿Puedes manejar tu ansiedad durante tu presentación?,Sí,,https://drive.google.com/file/d/1Cw3oPXTNc-8SRhdtrmQYyiTvDaszARPN/view?usp=sharing,37.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Tomar tu propia trayectoria profesional,"Has decidido tomarte un tiempo libre del trabajo para viajar. No conoces a nadie que haya tomado este tipo de descanso, y todos tus amigos lo están cuestionando. Cuando piensas en tu decisión, sientes que es correcta. ",N/A,¿Estás satisfecho con tu decisión de tomarte un tiempo libre para viajar?,Sí,,https://drive.google.com/file/d/1mo51O3ZsihoAjU7pqpVlB6eV9WfGfSfZ/view?usp=sharing,38.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Positive,Enseñando a otros,"Has sido seleccionado para dirigir una clase de capacitación para nuevos empleados. El líder anterior era muy querido y te preocupa no poder estar a la altura de las expectativas de los demás sobre el curso. Recuerdas que conoces bien el material y cuando piensas en liderar el curso, tienes esperanzas.",N/A,¿Dirigirás bien el curso?,Sí,,https://drive.google.com/file/d/1C5L6fKZvsuJRuh2QnDj4U7_d1_Djs1Rr/view?usp=sharing,39.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,La audición,Estás haciendo una audición para una obra de teatro. Dices la mayoría de tus líneas correctamente pero te equivocas en una o dos. Piensas que la audición fue bien.,N/A,¿Te sientes bien con la audición?,Sí,,https://drive.google.com/file/d/1XWqPcn3xsv0ViabgEI21WyXarfoQOeaX/view?usp=sharing,40.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Negative,Correo electrónico importante,"Hoy recibirás un correo electrónico que te informará si recibiste un ascenso. Tienes algunas horas para esperar hasta recibir el correo. Cuando piensas en esperar tanto tiempo, te sientes miserable.",N/A,¿Te sientes bien teniendo que esperar el correo electrónico?,No,,https://drive.google.com/file/d/1p8eW_KLXFYr5TmnLnDsSXpM0xUI6bJ61/view?usp=sharing,41.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Faltando una reunión,"Aunque normalmente llegas a tiempo a los eventos de trabajo, hoy recibes un correo electrónico de tu jefe diciendo que estás unos minotos tarde a una reunion, de la cual te olvidaste completamente. Mientras llegas rápidamente a la ofinica, te preguntas si te van a juzgar por llegar tarde. Al entrar en la oficina, su ansiedad es tolerable.",N/A,"¿Durante la reunion, tu jefe pensará que probablemente eres...","Competente, a pesar de que cometiste un error.",Irresponsable y nervioso.,https://drive.google.com/file/d/1Xtpog7JLHTLu8uPpNq90GkgqP4CpvcjD/view?usp=sharing,42.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Resilience/Negation,Comentarios en las redes sociales,Le enviaste un mensaje de texto a un buen amigo hace un par de horas. Pasa un día y todavía no han respondido. Piensas en que tu amigo no usa su teléfono con frecuencia y te sientes mejor.,N/A,¿Está bien que tu amigo no haya respondido todavía?,Sí,,https://drive.google.com/file/d/1klpzcCJzVJGxqFyO7_kTDiM6lw5TxuU8/view?usp=sharing,43.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Evaluaciones entre compañeros,"Estás debatiendo con tus compañeros sobre una tarea en tu trabajo. Las otras personas tienen más experiencia que tú. Cuando piensas en argumentar tu posición, te sientes seguro.",N/A,¿Estás preocupado por el debate?,No,,https://drive.google.com/file/d/1Gf9_VnvtNkCVWOZu8VQ1INYnQFjRuB7m/view?usp=sharing,44.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Positive,Gestión de responsabilidades,"Has empezado a hacer voluntariado en una organización local y te ha costado manejarlo con trabajo. Uno de los líderes voluntarios te preguntó si estarías dispuesto a ayudarla con un proyecto fuera de tus responsabilidades habituales y te preocupa que se decepcione si dices que no. Después de pensarlo, le dices que no puedes ayudar con este proyecto debido al trabajo, pero que estás dispuesto a ayudar en el siguiente.",N/A,¿Está bien rechazar responsabilidad adicional?,Sí,,https://drive.google.com/file/d/1mnjPZpYIVahZEm1gr4Zu9gKZfMCjl2Tk/view?usp=sharing,45.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Resilience/Negation,Recuperándote despues de un error,"Estás dando una presentación en una reunión y accidentalmente omites una sección, así que tienes que empezar de nuevo. Te sientes avergonzado por el error y te preocupa lo que pensó la audiencia. La audiencia probablemente piensa que tu presentación fue incómoda.","Más tarde ese día, te das cuenta de que es normal cometer errores al presentar. Probablemente la audiencia pensó que tu presenación después de comenzar de nuevo fue admirable.",¿Crees que la audiencia piensa que causaste incomodidad al cometer un error?,No,,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,46.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Reorganización después de la exposición,"Tienes una presentación para tu departamento próximamente y has estado trabajando duro con la esperanza de impresionar a su supervisor. La noche anterior, descubriste que un amigo con el que cenaste dio positivo por COVID. Crees que tu supervisor lo comprenderá y te ayudará a hacer los arreglos necesarios para realizar la presentación de manera segura.",N/A,¿Tu supervisor te penalizará por estar expuesto?,No,,https://drive.google.com/file/d/1VI2RlOCEQp-MZuaDiydNX2wBxDcqv_kH/view?usp=sharing,47.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Deprimido,"Has tenido una semana ocupada y estresante. Generalmente estás feliz, pero te has sentido aburrido y triste durante los últimos días. Recuerdas que es normal tener algunos días difíciles.",N/A,Te sientes normal?,Sí,,https://drive.google.com/file/d/1Idh86DIZlODfTEChHpLTlFGu9oVwjF82/view?usp=sharing,48.jpg,2,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Positive,Revisando tu trabajo,"Te han llamado para una evaluación de desempeño con tu jefe. En general, haces un buen trabajo, pero sabes que tu jefe ha notado algunos errores recientemente. Mientras te preparas para la revisión, piensas que tu reunión probablemente se centrará en tus defectos.",N/A,Es probable que su jefe sienta que...,La mayor parte de tu trabajo ha sido de muy alta calidad.,Tus errores han sido graves e inaceptables.,https://drive.google.com/file/d/1EAYPVHFKPfUOp3vNgYgsrQGqdKFYW-a8/view?usp=sharing,49.jpg,2,
