Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
,5,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Mind Going Blank,Your boss calls on you to answer a question about the plans you just discussed. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,1,3
,6,Positive,Academics/Work/Career Development,Social Situations,,Leaning on your Peers,"You get your evaluation back today and your results are lower than you expected. Your peers are talking about their results and they are more positive than yours. If you tell your peers about your evalutation results, they will be understanding.",,Will your peers judge you for getting more negative evalutation results than them?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,1,2
,7,Positive,Academics/Work/Career Development,Social Situations,,Stuttering in office ,"You are having a conversation with your supervisor in their office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",N/A,Are you embarrassed due to stuttering over your words?,No,,https://drive.google.com/file/d/1aUoa1C9eagfLdwz6V8WTzXzAjHHYPXaJ/view?usp=sharing,1,3
,8,Negative,Academics/Work/Career Development,,,Unstable WiFi,"You don't have stable internet access at home and you found out UVA has converted to online operations. You wonder how you'll be able to keep up with your work. As you think about the situation, you feel stressed.",N/A,Are you worried about keeping up with your work? ,Yes,,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,1,3
,9,Positive,Academics/Work/Career Development,Social Situations,,Nerve-wracking presentation,"You have to give a presentation to your boss. As you think about the talk, you feel butterflies in your stomach. On the morning of the talk, you feel nervous, and you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,1,3
,10,Positive,Academics/Work/Career Development,,,Discussing the Evaluation ,"You just received your preformance evaluation and you notice their are some critiques about your work that you did not realize were an issue. While waiting for your meeting with your boss, you feel ready.",N/A,Are you spending your time worrying about meeting with your boss?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,1,3
4,1,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Assessments at School,You are currently have a lot going on with work. Your friend who you have not seen in a while has asked you to hang out the night before a deadline. You know that you need to do prioritize your work but worry that your friend will be upset for not making time for them. ,You realize that you will have greater flexibility in the next few weeks to see your friend and that they will understand that you need to work.,Will your friend be mad at you for not seeing them?,No,,https://drive.google.com/file/d/1l7EYIU9EAQNPZ729hAe8kKcigikut6sh/view?usp=sharing,2,2
,2,Negative,Academics/Work/Career Development,Social Situations,,Dealing with Group Work,"You are assigned a project to complete for work. You've been grouped with coworkers who usually don't contribute much to work projects. You start to think about how the project will go, and feel uneasy.",,Are you worried about completing the presentation?,Yes,,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,2,3
,3,Positive,Academics/Work/Career Development,,,Discussing the Evaluation ,"You just received your preformance evaluation and you notice their are some critiques about your work that you did not realize were an issue. While waiting for your meeting with your boss, you feel ready.",N/A,Are you spending your time worrying about meeting with your boss?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,2,3
,4,Resilience/Negation,Academics/Work/Career Development,,,Feedback on your work,"You recently turned in a report, and your boss asks to see you about your work. As you walk into their office, they tell you to sit down because there's lots of feedback to go through, and they look at you with a frown.","During the meeting, you realize that your boss is taking great care to give you useful feedback and that they see this as a way to provide you with a valuable learning opportunity.",Your boss probably thinks that ...,You have great potential.,You are incapable.,https://drive.google.com/file/d/1LeCW8Zaw5qO3kfJKG0mZmeeHjw8dApHc/view?usp=sharing,2,3
,5,Positive,Academics/Work/Career Development,,,Running Late,"You wake up and realize that you're late for your first online meeting of the day. You log into the meeting and when you do, your supervisor stops talking. You apologize for being late in the chat, and spend the rest of the meeting feeling calm.",N/A,Are you anxious for the rest of the meeting because you were late?,No,,https://drive.google.com/file/d/11hkKoc95B-7-zuWUGB6ZlYkbaj1oMxzZ/view?usp=sharing,2,2
,6,Positive,Academics/Work/Career Development,Social Situations,,Speaking Up in Class,Your boss is talking about one of your role models in your field of work during a meeting and she asks if anyone knows about their work. In front of everyone you quickly raise your hand and your colleagues turns to you. You realize that you feel confident.,,Are you embarrassed that you raised your hand?,No,,https://drive.google.com/file/d/1qGMXNyoVsjti9RZVA8vAZ6RjVRacfgBv/view?usp=sharing,2,1
,7,Positive,Academics/Work/Career Development,Social Situations,,Writing workshop,"A coworker suggests that your team participates in a workshop on writing for the workplace. You go online and read information about the workshop. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic",N/A,Do you expect to feel uncomfortable if others look at your work?,No,,https://drive.google.com/file/d/1vQbs0ifLnQbnC1ejFEq6WujzKLqZl7vv/view?usp=sharing,2,2
,8,Positive,Academics/Work/Career Development,Social Situations,,A sip of water,"You are told you need to give a presentation to your coworkers. When it is time to present, you have a sip of water and wonder what your coworkers will think of you. As you begin to speak, you feel scared and decide to continue.",N/A,When you feel anxious during a presentation...,You have the ability to continue with your talk.,You have to stop your talk and flee the situation.,https://drive.google.com/file/d/1M2nmwy6Vs-FYWSeplo1FuQ51PqchzdnB/view?usp=sharing,2,3
,9,Positive,Academics/Work/Career Development,,,Important visitors,"Some important people are visiting your office, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,2,3
,10,Positive,Academics/Work/Career Development,,,A night off,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,2,3
5,1,Positive,Academics/Work/Career Development,Social Situations,,An engaged audience,"You are required to give a presentation to a group of work colleagues that you know well. They all are quiet during your presentation. As you think about it later at home, you think that your colleagues found your presentation interesting.",N/A,Your cohort members were probably quiet because ...,They were engaged by your presentation.,They were bored by your presentation.,https://drive.google.com/file/d/12S8nfxTZe8xGCPO8jz-sGM6I1c8zCe1q/view?usp=sharing,2,3
,2,Positive,Academics/Work/Career Development,Mental Health,,Answering Unexpected Questions,"You are presenting your work to a group of your peers. After you present, someone asks you a very specific question that you do not know the answer to and you feel like you are unqualified. You remember that you did a lot of research, and this question may just not be relevant.",N/A,Are you qualified to be giving your presentation?,Yes,,https://drive.google.com/file/d/12gcbXlswsM0sW5_Z7DcSBJGr1Bq-2t8t/view?usp=sharing,2,3
,3,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Shaking Hands,"You are giving a presentation to your coworkers about a new training plan. You feel that your hands are shaking a little. Wondering if it is obvious, you look around and see that a few people have noticed.",You realize that your coworkers are more interested in your presentation than your hands. You continue your presentation and as time passes you realize that your nerves are manageable.,Are you able to handle your anxiety during your presentation?,Yes,,https://drive.google.com/file/d/1Cw3oPXTNc-8SRhdtrmQYyiTvDaszARPN/view?usp=sharing,2,2
,4,Positive,Academics/Work/Career Development,,,Taking Your Own Career Path,"You've decided to take time off work to travel. You don't know anyone who has taken this type of break, and all of your friends are questioning it. When you think about your decision, you feel like it's right.",,Are you satisfied with your decision to go take time off to travel?,Yes,,https://drive.google.com/file/d/1T7YdAdETacEaggsYW81HUKjoT_lV5Ptt/view?usp=sharing,2,2
,5,Positive,Academics/Work/Career Development,Mental Health,,Teaching Others,"You have been selected to lead a training class for new employees. The leader before you was extremely well liked, and you worry you won't be able to live up to others' expectation of the course. You remember that you know the material well, and when you think about leading the course, you are hopeful.",N/A,Will you lead the course well?,Yes,,https://drive.google.com/file/d/1C5L6fKZvsuJRuh2QnDj4U7_d1_Djs1Rr/view?usp=sharing,2,3
,6,Positive,Academics/Work/Career Development,Finances,,Work-Study Balance,"Last month, you accepted an offer to take on extra responsibilities at work for a pay increase. However, this has caused you to spend much less time on other important areas of your life, like family and friends. You talk with your supervisor and make a plan to reduce your responsibilities slightly, which makes you feel relieved. ",,Will your job continue to take up all of your time?,No,Yes,https://drive.google.com/file/d/11q5pKXoPWPhEb3Jj9q5NvtB1VcTrqt3e/view?usp=sharing,2,2
,7,Negative,Academics/Work/Career Development,Mental Health,,Important Email,"Today you are receiving an email about whether or not you received a promotion. You have a few hours to wait until you'll get the email. When you think about waiting that long, you feel miserable.",N/A,Do you feel OK having to wait for the email?,No,,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,2,3
,8,Positive,Academics/Work/Career Development,Social Situations,,Missing meeting,"Although you are normally on time for work events, today you receive an email from your boss saying that you are a few minutes late for a scheduled meeting with them, which you had completely forgotten about. As you quickly head to the office, you wonder whether they are going to judge you for being late. As you walk into the room, your anxiety is tolerable.",N/A,"During the meeting, your boss will probably think you are ...","Competent, even though you made a mistake. ",Irresponsible and nervous.,https://drive.google.com/file/d/17IOmNhMDq3epnJGE8TemGWfg4KUWPytl/view?usp=sharing,2,3
,9,Resilience/Negation,Academics/Work/Career Development,Family & Home life,,Expectations,"The year just ended and your boss wants to meet with you about your performance. They have high expectations for you, but you performed worse than previous years. Your boss will be upset.","You think about why they want you to perform well. You know it is because they want you to do well, so that makes you feel better.",Do you stay upset when thinking about talking to your boss about your perfomance this year? ,No,,https://drive.google.com/file/d/1wCwgto6cdEuwAN3zGRHJfTtYQnaB_Rh4/view?usp=sharing,2,2
,10,Positive,Academics/Work/Career Development,Social Situations,,Peer Evaluations,"You are having a debate with coworkers about a task at your job. The other people have more experience than you do. When you think about arguing your position, you feel confident.",N/A,Are you worried about the debate?,No,,https://drive.google.com/file/d/1Gf9_VnvtNkCVWOZu8VQ1INYnQFjRuB7m/view?usp=sharing,2,2
6,1,Positive,Academics/Work/Career Development,Mental Health,,Managing Responsibilities,"You have started to volunteer at a local organization and have had a difficult time managing it with work. One of the volunteer leaders asked if you would be willing to help her out with a project outside of your usual responsibilities, and you are worried if she will be dissappointed if you say no. After thinking on it, you tell her that you can't help out with this project because of work, but are willing to help out on the next one.",N/A,Is it okay to turn down additional responsibility?,Yes,,https://drive.google.com/file/d/1mnjPZpYIVahZEm1gr4Zu9gKZfMCjl2Tk/view?usp=sharing,2,3
,2,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Recovering From a Mistake,You are giving a presentation at a meeting and accidentally skip a section so have to start again. You are embarrassed by the mistake and worry what the audience thought of you. The audience probably thinks your delivery after starting over was awkward.,"Later that day, you realize that it is common to make mistakes when presenting. The audience probably thought your delivery after starting over was admirable.",Do you think that the audience thought of you as awkward for making a mistake?,No,,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,2,3
,3,Positive,Academics/Work/Career Development,,,Rearranging After Exposure,"You have a presentation for your department coming up and you’ve been working hard in the hopes that you’ll impress your supervisor. The night before, you find out a friend you had dinner with tested positive for COVID. You think your supervisor will understand and help you arrange to do the presentation safely.",N/A,Will your supervisor penalize you for being exposed?,No,,https://drive.google.com/file/d/1Z-r6oLOiCidGbAjEgRq2EYOz5a33RgN0/view?usp=sharing,2,2
,4,Positive,Academics/Work/Career Development,,,Reconnecting With People,"You have had a lot of work pile up these past couple of weeks. As a result, you have not been able to spend time with friends or family as much as you would want and have often times felt lonely. Once your workload lessens, you plan on reconnecting with people who mean a lot to you.",N/A,Will you be able to hang out with friends and family when you have more time?,Yes,,https://drive.google.com/file/d/1oRVHiCteKOP5kuq94IS2VDj-UvycRI7V/view?usp=sharing,2,2
,5,Positive,Academics/Work/Career Development,,,Deleted section,"You recently turned in a manuscript to a research journal. You decide to re-read your submitted manuscript, and realize that you accidentally deleted a section you meant to include in the paper. Given that you accidentally made this deletion, you think that you are likely to recieve positive feedback.",N/A,Are you going to get positive feedback on your manuscript?,Yes,,https://drive.google.com/file/d/1Yt4G6HZMK_t-ihnEQ6iXy7znjFBPDG8C/view?usp=sharing,2,2
,6,Negative,Academics/Work/Career Development,,,Completion Complications,"You are proposing a new idea in a meeting today. You only have an hour before the meeting and you don't know where to start. When you think about your ability to complete the proposal, you feel doubtful.",,Will you be able to finish your proposal in time?,No,,https://drive.google.com/file/d/1HUpZhRLel0QTYYZM64ONySSJM68ju4jm/view?usp=sharing,2,2
,7,Resilience/Negation,Academics/Work/Career Development,,,Crowd of speech,"You are giving a speech at a convention for work. As you speak, you look into the crowd and notice that your boss’s expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your boss was most likely feeling impressed.",Does your boss’s neutral expression mean that they are disappointed with your speech?,No,,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,2,3
,8,Positive,Academics/Work/Career Development,,,Taking Your Own Career Path,"You've decided to take time off work to travel. You don't know anyone who has taken this type of break, and all of your friends are questioning it. When you think about your decision, you feel like it's right.",,Are you satisfied with your decision to go take time off to travel?,Yes,,https://drive.google.com/file/d/1T7YdAdETacEaggsYW81HUKjoT_lV5Ptt/view?usp=sharing,2,2
,9,Positive,Academics/Work/Career Development,,,Putting in the Work,"This year, you've decided to take on more weekly hours. This is your first time working this many hours and you've heard from your peers that it's difficult. When you think about the workload, you think that you will be able to handle it well.",,Will you succeed with your new workload?,Yes,,https://drive.google.com/file/d/1P-A1Dw9BpwfIdrZwOnIWzDOp28x4JMYX/view?usp=sharing,2,2
,10,Positive,Academics/Work/Career Development,,,Making a Choice,"Your partner wants you to take on a specific job. You would rather work in a different place but your partner has made it clear they are not on board with the job choice. When you think about talking with your partner about your choice, you feel prepared.",N/A,Can you handle talking to your partner about your job choice?,Yes,,https://drive.google.com/file/d/1Z0nzrIQHVjl7UmtuA4nngOFyGYVvmBB-/view?usp=sharing,2,3
7,1,Positive,Academics/Work/Career Development,,,Taking Your Time,"Your boss calls on you to answer a question about the presentation just given. You don't know what to say, and your mind goes blank. After a few moments, you prepare your answer and feel ok.",N/A,Are you able to answer the question?,Yes,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,all,2
,2,Positive,Academics/Work/Career Development,,,A lengthy read,"You have been assigned a task, and you try very hard to make sure it is thorough. The job is quite difficult. When your supervisor sees it, you think they will judge your efforts as suitable.",N/A,Will your supervisor judge your efforts as reasonable?,Yes,,https://drive.google.com/file/d/1RKi9OcuyFaniZ5jGBXttumHbaAOKNP2G/view?usp=sharing,all,2
,3,Negative,Academics/Work/Career Development,,,Troublesome Typos,"You just sent an important email. As you reread what you've sent, you see a typo in the first sentence. You believe that you should be concerned.",,Should you be worried about the typo?,Yes,,https://drive.google.com/file/d/1h6K5Zfme1ZXvFeEUrUxMpeqnVyoRZwcr/view?usp=sharing,all,2
,4,Positive,Academics/Work/Career Development,Social Situations,,Contributing to a discussion,Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.,N/A,The people in your office will probably ...,Support your ideas.,Dislike your ideas. ,https://drive.google.com/file/d/1JLyALw0FAi4CqbIXE3sRzXwYRToDyEgw/view?usp=sharing,all,3
,5,Resilience/Negation,Academics/Work/Career Development,,,Wrapping Up Work,"Work has been piling up at your job recently, and you were going to take the weekend to catch up. However, your friend reminded you of an event this weekend that you committed to, and it would be rude to cancel last minute. You think that completing your work will be doable.",N/A,Will you be able to do work this weekend?,Yes,,https://drive.google.com/file/d/1gJDoLG7URU4HHx8zhlc35lrAo1XCsO_8/view?usp=sharing,all,2
,6,Positive,Academics/Work/Career Development,,,Ready to Work,"You have a lot of tasks to finish tomorrow. You've been procrastinating getting them done because they are going to be hard. When you think about whether you will be able to do the work, you think you can.",,Are you going to complete your work?,Yes,,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,all,3
,7,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Quick correction,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your boss incorrectly?,Yes,,https://drive.google.com/file/d/1LkIEzSKHGt3ThPYYrQWPZjfUroEcuFve/view?usp=sharing,all,3
,8,Positive,Academics/Work/Career Development,Social Situations,,Optional presentation,"Your boss has hired a few interns for the summer. They ask you to stay after work to give the interns a brief presentation about the company's goals and values, but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,,https://drive.google.com/file/d/1f7AX8AtByV-EKIO86OXhrR2a6P9gCwXU/view?usp=sharing,all,2
,9,Positive,Academics/Work/Career Development,Family & Home Life,,Others' Opinions,"You were denied a promotion this year and know that your friend was rooting for you to get a promotion. They frown when you tell them about not getting one. You tell them that you worked extremely hard despite not getting a promotion, and they are proud of the effort you gave throughout the year.",N/A,Is your friend disappointed that you did not get the promotion?,No,,https://drive.google.com/file/d/1WzyVq9WXRsCbwmV-3XbVYvTo1EVSJtPA/view?usp=sharing,all,3
